RCR;ISIL;LIBELLE
010045301;FR-010045301;AMBERIEU-EN-BUGEY-Archives APA
010046201;FR-010046201;AMBERIEU/BUGEY-BM
010336201;FR-010336201;BELLEGARDE/VALSERINE-BM
010336301;FR-010336301;BELLEGARDE/VASERINE-BDP
010346201;FR-010346201;BELLEY-Médiathèque
010532201;FR-010532201;BOURG-EN-BRESSE-CEUBA
010532202;FR-010532202;LYON1-IUT Bourg-en-Bresse
010532301;FR-010532301;LYON1-Bourg-en-Bresse-INSPE
010532302;FR-010532302;BOURG-EN-BRESSE-IFSI/IFAS
010535101;FR-010535101;BOURG EN BRESSE-Archives dep.
010535102;FR-010535102;BOURG/BRESSE-Musée de Brou
010535202;FR-010535202;BOURG-EN-BRESSE-Archives Munic.
010535203;FR-010535203;BOURG-EN-BRESSE-Bib. médicale
010535204;FR-010535204;BOURG/BRESSE-Cons.Dép.Musées
010535301;FR-010535301;BOURG/BRESSE-Resonance contemp.
010536201;FR-010536201;BOURG-EN-BRESSE-Médiathèque
010536301;FR-010536301;BOURG EN BRESSE-BDP Ain
011606201;FR-011606201;FERNEY-VOLTAIRE-Med. Châtelard
011935301;FR-011935301;IZIEU-Maison du mémorial
011995101;FR-011995101;JUJURIEUX-Soieries Bonnet
012666201;FR-012666201;MONTREVEL-EN-BRESSE-Méd.
012695101;FR-012695101;NANTUA-Musee de la Résistance
012696201;FR-012696201;NANTUA-Mediatheque
012836201;FR-012836201;OYONNAX-BM
013056201;FR-013056201;PONT DE VAUX-BM
020935101;FR-020935101;BLERANCOURT-Musée
021686201;FR-021686201;CHATEAU THIERRY-BM
021836201;FR-021836201;CHAUNY-Méd. A. Malraux
022956201;FR-022956201;ETREAUPONT-Médiathèque
023075101;FR-023075101;LA FERTE MILON-Musee J.  Racine
023816201;FR-023816201;HIRSON-BM
024082201;FR-024082201;LAON-IUT
024082202;FR-024082202;LAON-INSPE
024082301;FR-024082301;LAON-Station agronomie
024085101;FR-024085101;LAON-Archives Départementales
024085102;FR-024085102;LAON-Conseil général
024085201;FR-024085201;LAON-CDDP Aisne
024085202;FR-024085202;LAON-Lab.Dép.Diagnostic véte
024085401;FR-024085401;LAON-Chambre Agriculture
024086201;FR-024086201;LAON-BM
026912101;FR-026912101;ST QUENTIN-BU Sciences
026916201;FR-026916201;ST QUENTIN-BM
